input_file,window_index,window_time_s,mean_power,rms_amplitude,crest_factor,spectral_centroid_hz,spectral_spread_hz,occupied_bandwidth_hz,spectral_entropy,spectral_flatness,peak_frequency_hz,phase_diff_std,cluster_label
drone_sample_iq.dat,92,0.190464,0.184644,0.429702,2.404709,223090.190578,257812.366789,972656.250000,0.519448,0.206723,391357.421875,2.028484,3
drone_sample_iq.dat,93,0.192512,0.172324,0.415119,2.324503,212942.545591,260634.330405,972167.968750,0.525215,0.210138,391357.421875,2.022869,3
drone_sample_iq.dat,94,0.194560,0.165146,0.406381,2.529829,206342.654817,263124.478637,973388.671875,0.540562,0.217766,391357.421875,2.022092,4
drone_sample_iq.dat,95,0.196608,0.154471,0.393028,2.615783,195800.727127,264929.353645,972656.250000,0.569622,0.237415,391357.421875,2.024083,4
drone_sample_iq.dat,96,0.198656,0.143268,0.378508,2.621362,179910.129444,273006.869110,978027.343750,0.597363,0.256232,391357.421875,1.991846,4
drone_sample_iq.dat,97,0.200704,0.133510,0.365390,2.535243,156756.625510,279259.049917,977539.062500,0.629305,0.272644,391357.421875,1.968805,4
drone_sample_iq.dat,98,0.202752,0.125635,0.354450,2.660931,152325.416693,277525.657446,979003.906250,0.644598,0.290707,391357.421875,1.941754,4
drone_sample_iq.dat,99,0.204800,0.121423,0.348458,2.706689,134464.958709,280570.188516,982666.015625,0.673676,0.305735,391357.421875,1.920012,4
drone_sample_iq.dat,100,0.206848,0.114147,0.337857,2.716602,116801.235535,283311.597192,984130.859375,0.703493,0.322416,391357.421875,1.895681,4
drone_sample_iq.dat,101,0.208896,0.108423,0.329277,2.787388,111545.646235,283241.672923,982666.015625,0.723513,0.349898,391357.421875,1.861515,4
drone_sample_iq.dat,102,0.210944,0.103469,0.321667,2.563619,100592.545577,275709.163440,983886.718750,0.740120,0.354340,391357.421875,1.824402,4
drone_sample_iq.dat,103,0.212992,0.098535,0.313902,2.705228,77008.259557,277769.419909,984863.281250,0.757672,0.370349,391357.421875,1.812587,4
drone_sample_iq.dat,104,0.215040,0.095174,0.308502,2.752582,73934.939648,278055.691087,988525.390625,0.787461,0.392470,391357.421875,1.791147,4
drone_sample_iq.dat,105,0.217088,0.092801,0.304633,2.699073,63817.122123,274880.657180,983886.718750,0.786568,0.389416,11962.890625,1.748686,1
drone_sample_iq.dat,106,0.219136,0.086496,0.294102,2.587935,36469.436044,275674.991921,986816.406250,0.822976,0.418563,11962.890625,1.711446,1
drone_sample_iq.dat,107,0.221184,0.078067,0.279404,2.815664,-11388.095487,262320.896221,989257.812500,0.856214,0.470281,11962.890625,1.656839,1
drone_sample_iq.dat,108,0.223232,0.077959,0.279212,3.448273,7447.544734,257282.455852,983398.437500,0.842343,0.442369,11962.890625,1.630306,1
drone_sample_iq.dat,109,0.225280,0.078725,0.280580,3.431465,877.879903,259984.299563,984375.000000,0.849546,0.471760,11962.890625,1.615111,1
drone_sample_iq.dat,110,0.227328,0.077651,0.278659,2.729575,-582.345486,260360.014652,986328.125000,0.851083,0.455177,11962.890625,1.605161,1
drone_sample_iq.dat,111,0.229376,0.078849,0.280800,2.708764,3581.065469,255136.117421,985595.703125,0.859132,0.469778,11962.890625,1.625760,1
drone_sample_iq.dat,112,0.231424,0.080140,0.283090,2.672864,2573.108946,257983.702718,986328.125000,0.845429,0.451788,11962.890625,1.640775,1
drone_sample_iq.dat,113,0.233472,0.080447,0.283632,2.650907,13097.973595,261703.788026,986816.406250,0.856024,0.465026,11962.890625,1.649116,1
drone_sample_iq.dat,114,0.235520,0.080308,0.283386,2.746353,5183.963491,265477.186688,983398.437500,0.845436,0.446441,11962.890625,1.649924,1
drone_sample_iq.dat,115,0.237568,0.077638,0.278635,2.793177,10872.368665,262027.537966,987304.687500,0.857878,0.462850,11962.890625,1.654025,1
drone_sample_iq.dat,116,0.239616,0.077607,0.278580,2.707664,4364.606758,260118.788058,984375.000000,0.859052,0.473147,11962.890625,1.648609,1
drone_sample_iq.dat,117,0.241664,0.079212,0.281447,3.063523,4132.251062,254387.822398,984130.859375,0.841234,0.459440,11962.890625,1.629803,1
drone_sample_iq.dat,118,0.243712,0.080180,0.283161,3.044972,4202.320185,259745.224566,987792.968750,0.842184,0.451414,11962.890625,1.606595,1
drone_sample_iq.dat,119,0.245760,0.080034,0.282904,3.023699,4460.430270,256078.852135,986083.984375,0.843863,0.453965,11962.890625,1.616655,1
drone_sample_iq.dat,120,0.247808,0.079164,0.281361,2.728711,3489.268333,259006.397948,984619.140625,0.855211,0.462008,11962.890625,1.642089,1
